Name,Fixed or Live,Image time,Drug,Drug [ ],cells,openings
MDCK_0-40h 160914_ctl_02,F,40,ctl,N/A,6,1
MDCK_0-40h 160914_ctl_03,F,40,ctl,N/A,7,1
MDCK_0-40h 160914_ctl_04,F,40,ctl,N/A,3,1
,F,40,ctl,N/A,5,1
,F,40,ctl,N/A,6,2
MDCK_0-40h 160914_ctl_05,F,40,ctl,N/A,3,1
,F,40,ctl,N/A,4,1
MDCK_0-40h 160914_ctl_06,F,40,ctl,N/A,4,1
,F,40,ctl,N/A,4,0
,F,40,ctl,N/A,6,1
,F,40,ctl,N/A,5,2
,F,40,ctl,N/A,3,2
,F,40,ctl,N/A,5,2
,F,40,ctl,N/A,6,2
,F,40,ctl,N/A,5,1
,F,40,ctl,N/A,6,1
,F,40,ctl,N/A,4,1
MDCK_0-40h 160914_ML7_01,F,40,ML7,20uM,6,1
MDCK_0-40h 160914_ML7_02,F,40,ML7,20uM,6,1
MDCK_0-40h 160914_ML7_03,F,40,ML7,20uM,3,1
,F,40,ML7,20uM,5,2
,F,40,ML7,20uM,4,1
,F,40,ML7,20uM,4,1
MDCK_0-40h 160914_ML7_04,F,40,ML7,20uM,4,1
MDCK_0-40h 160914_ML7_05,F,40,ML7,20uM,7,2
MDCK_0-40h 160914_ML7_06,F,40,ML7,20uM,7,1
MDCK_0-40h 160914_ML7_07,F,40,ML7,20uM,8,1
,F,40,ML7,20uM,7,1
,F,40,ML7,20uM,4,2
MDCK_0-40h 160914_ML7_08,F,40,ML7,20uM,7,1
MDCK_0-40h 160914_ML7_09,F,40,ML7,20uM,3,1
MDCK_0-40h 160914_ML7_10,F,40,ML7,20uM,6,2
MDCK_0-40h 160914_ML7_11,F,40,ML7,20uM,5,1
MDCK_0-40h 160914_ML7_12,F,40,ML7,20uM,4,1
,F,40,ML7,20uM,3,1
,F,40,ML7,20uM,4,2
MDCK_0-40h 160914_Y2_01,F,40,Y2,20uM,4,1
MDCK_0-40h 160914_Y2_02,F,40,Y2,20uM,16,1
MDCK_0-40h 160914_Y2_03,F,40,Y2,20uM,6,1
,F,40,Y2,20uM,4,1
,F,40,Y2,20uM,4,1
,F,40,Y2,20uM,11,1
,F,40,Y2,20uM,6,1
,F,40,Y2,20uM,10,1
,F,40,Y2,20uM,2,1
,F,40,Y2,20uM,4,1
,F,40,Y2,20uM,10,3
MDCK_0-40h 160914_Y2_04,F,40,Y2,20uM,7,1
MDCK_0-40h 160914_Y2_05,F,40,Y2,20uM,4,1
,F,40,Y2,20uM,7,2
,F,40,Y2,20uM,6,1
MDCK_0-40h 160914_Y2_06,F,40,Y2,20uM,4,2
MDCK_0-40h 160914_Y2_07,F,40,Y2,20uM,7,1
,F,40,Y2,20uM,3,1
,F,40,Y2,20uM,4,1
,F,40,Y2,20uM,2,0
,F,40,Y2,20uM,4,0
,F,40,Y2,20uM,4,2
,F,40,Y2,20uM,6,1
,F,40,Y2,20uM,5,2
MDCK_0-40h 160914_Y2_08,F,40,Y2,20uM,4,1
MDCK_0-40h 160914_Y2_09,F,40,Y2,20uM,2,1
MDCK_0-40h 160914_Y2_10,F,40,Y2,20uM,4,1
,F,40,Y2,20uM,3,1
MDCK_0-40h 160914_Y2+ML7_01,F,40,Y2_ML7,20uM,7,2
,F,40,Y2_ML7,20uM,5,2
,F,40,Y2_ML7,20uM,3,1
,F,40,Y2_ML7,20uM,6,2
,F,40,Y2_ML7,20uM,4,1
,F,40,Y2_ML7,20uM,4,1
,F,40,Y2_ML7,20uM,3,1
,F,40,Y2_ML7,20uM,4,1
MDCK_0-40h 160914_Y2+ML7_02,F,40,Y2_ML7,20uM,4,1
MDCK_0-40h 160914_Y2+ML7_03,F,40,Y2_ML7,20uM,8,1
,F,40,Y2_ML7,20uM,7,1
MDCK_0-40h 160914_Y2+ML7_04,F,40,Y2_ML7,20uM,4,1
MDCK_0-40h 160914_Y2+ML7_05,F,40,Y2_ML7,20uM,5,1
MDCK_0-40h 160914_Y2+ML7_06,F,40,Y2_ML7,20uM,4,1
MDCK_0-40h 160914_Y2+ML7_07,F,40,Y2_ML7,20uM,,
MDCK_0-40h 160914_Y2+ML7_08,F,40,Y2_ML7,20uM,4,1
,F,40,Y2_ML7,20uM,6,0
,F,40,Y2_ML7,20uM,4,1
,F,40,Y2_ML7,20uM,4,1
,F,40,Y2_ML7,20uM,4,1
,F,40,Y2_ML7,20uM,4,1
,F,40,Y2_ML7,20uM,4,1
,F,40,Y2_ML7,20uM,5,1
MDCK_0-40h 160914_Y2+ML7_09,F,40,Y2_ML7,20uM,6,1
MDCK_0-40h 160914_Y2+ML7_10,F,40,Y2_ML7,20uM,8,1
MDCK_0-40h 160914_Y2+ML7_11,F,40,Y2_ML7,20uM,3,0
,F,40,Y2_ML7,20uM,4,2
,F,40,Y2_ML7,20uM,5,1
,F,40,Y2_ML7,20uM,3,1
,F,40,Y2_ML7,20uM,4,1
,F,40,Y2_ML7,20uM,9,2
,F,40,Y2_ML7,20uM,4,1
,F,40,Y2_ML7,20uM,8,4
,F,40,Y2_ML7,20uM,3,1
,F,40,Y2_ML7,20uM,8,1
,F,40,Y2_ML7,20uM,3,2
,F,40,Y2_ML7,20uM,8,2
,F,40,Y2_ML7,20uM,5,2
,F,40,Y2_ML7,20uM,4,1
,F,40,Y2_ML7,20uM,5,1
MDCK_0-40h 160914_Y2+ML7_12,F,40,Y2_ML7,20uM,2,1
,F,40,Y2_ML7,20uM,4,1
,F,40,Y2_ML7,20uM,4,1
,F,40,Y2_ML7,20uM,6,1
,F,40,Y2_ML7,20uM,5,2
MDCK_0-40h 160914_Y2+ML7_13,F,40,Y2_ML7,20uM,5,1
MDCK_0-40h 160914_Y2+ML7_14,F,40,Y2_ML7,20uM,4,1
MDCK_0-40h 160914_Y2+ML7_15,F,40,Y2_ML7,20uM,3,1
,F,40,Y2_ML7,20uM,4,1
,F,40,Y2_ML7,20uM,9,3
MDCK_0-40h 160915_ctlDMSO_01,F,40,DMSO,100uM,15,3
MDCK_0-40h 160915_ctlDMSO_02,F,40,DMSO,100uM,3,1
MDCK_0-40h 160915_ctlDMSO_03,F,40,DMSO,100uM,4,1
MDCK_0-40h 160915_ctlDMSO_04,F,40,DMSO,100uM,7,1
MDCK_0-40h 160915_ctlDMSO_05,F,40,DMSO,100uM,3,1
MDCK_0-40h 160915_ctlDMSO_06,F,40,DMSO,100uM,6,1
,F,40,DMSO,100uM,3,2
MDCK_0-40h 160915_cytoD10uM_01 sheet,F,40,CD,10uM,,
MDCK_0-40h 160915_cytoD10uM_02,F,40,CD,10uM,4,1
,F,40,CD,10uM,6,1
,F,40,CD,10uM,3,1
MDCK_0-40h 160915_cytoD10uM_03,F,40,CD,100uM,5,1
MDCK_0-40h 160915_cytoD100uM_01,F,40,CD,100uM,2,1
,F,40,CD,100uM,2,0
,F,40,CD,100uM,6,2
MDCK_0-40h 160915_cytoD100uM_02,F,40,CD,100uM,4,1
MDCK_0-40h 160915_cytoD100uM_03,F,40,CD,100uM,4,1
MDCK_0-40h 160915_ctlDMSO_01,F,40,DMSO,100uM,8,1
